[1] "Iter.: 99 | lag: 7 | kernel: radial | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.754724694844977"
[1] "Iter.: 100 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.645130815967328"
[1] "Iter.: 101 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.657638546715712"
[1] "Iter.: 102 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.658395309971102"
[1] "Iter.: 103 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.55868419027304"
[1] "Iter.: 104 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.488584868171078"
[1] "Iter.: 105 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.429931786660726"
[1] "Iter.: 106 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.4749774008062"
[1] "Iter.: 107 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.243478213371965"
[1] "Iter.: 108 | lag: 7 | kernel: radial | gamma: 0.001 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.246902449193792"
[1] "Iter.: 109 | lag: 10 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0029153291623145"
[1] "Iter.: 110 | lag: 10 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00129789110973821"
[1] "0.00134532 --> 0.0012978911 - it: 110"
[1] "Iter.: 111 | lag: 10 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00130805175959067"
[1] "Iter.: 112 | lag: 10 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00282609097075931"
[1] "Iter.: 113 | lag: 10 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00143782830175002"
[1] "Iter.: 114 | lag: 10 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00140577225982583"
[1] "Iter.: 115 | lag: 10 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00315916624545392"
[1] "Iter.: 116 | lag: 10 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00137833290914014"
[1] "Iter.: 117 | lag: 10 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00149825821931395"
[1] "Iter.: 118 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0029153291623145"
[1] "Iter.: 119 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00129789110973821"
[1] "Iter.: 120 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00130805175959067"
[1] "Iter.: 121 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00282609097075931"
[1] "Iter.: 122 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00143782830175002"
[1] "Iter.: 123 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00140577225982583"
[1] "Iter.: 124 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00315916624545392"
[1] "Iter.: 125 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00137833290914014"
[1] "Iter.: 126 | lag: 10 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00149825821931395"
[1] "Iter.: 127 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0029153291623145"
[1] "Iter.: 128 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00129789110973821"
[1] "Iter.: 129 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00130805175959067"
[1] "Iter.: 130 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00282609097075931"
[1] "Iter.: 131 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00143782830175002"
[1] "Iter.: 132 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00140577225982583"
[1] "Iter.: 133 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00315916624545392"
[1] "Iter.: 134 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00137833290914014"
[1] "Iter.: 135 | lag: 10 | kernel: linear | gamma: 0.001 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00149825821931395"
[1] "Iter.: 136 | lag: 10 | kernel: radial | gamma: 1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.975936531507819"
[1] "Iter.: 137 | lag: 10 | kernel: radial | gamma: 1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.98493962261895"
[1] "Iter.: 138 | lag: 10 | kernel: radial | gamma: 1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.987910730614593"
[1] "Iter.: 139 | lag: 10 | kernel: radial | gamma: 1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.977295496005029"
[1] "Iter.: 140 | lag: 10 | kernel: radial | gamma: 1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.999090309245411"
[1] "Iter.: 141 | lag: 10 | kernel: radial | gamma: 1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 1.00021856432117"
[1] "Iter.: 142 | lag: 10 | kernel: radial | gamma: 1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.977295496005029"
[1] "Iter.: 143 | lag: 10 | kernel: radial | gamma: 1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 1.05209479459462"
