"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"41",122101.8571,123275.7397,123558.9165,123723.506,122937.5806,123343.7615,123165.9039,122921.4986,122485.5003,122340.2285,122609.5271,122604.3294,122586.8525,124025.2807,123225.5399,124169.3753,123200.115,123750.2104,123366.2127,124250.316,123946.6498,122128.8007,122043.6029,122150.4635,121898.654,122555.3586,121103.6855,123950.5275,123692.1576,123567.5703,123679.185,126945.011,123140.3664,123272.3035,123539.4152,123065.243,124314.6908,123668.9444,123054.4706,123200.7472,123142.8412,122272.3941,122250.1284,122543.2996,123351.3706,121528.0016,123503.784,123157.6153,123241.8929,123038.6799,126136.2038,112116.4052,122615.6847,122615.6847
"42",124728.7143,124236.5672,124232.0489,124764.5317,124492.0448,124794.1442,123914.198,125162.9418,125165.6028,125523.4811,125727.1442,125849.5231,124940.2278,124629.8399,125535.9077,125657.4442,124216.9248,124081.0491,123853.391,125219.1144,124881.4534,125952.6808,124738.9391,125786.3717,126549.1041,125742.3376,124165.4988,125692.0245,125956.4245,126139.3947,125348.5858,124535.2973,124317.3578,123977.4624,124046.5478,122849.4541,125093.7817,124216.2176,124609.0285,126209.9849,124400.1275,124047.4917,124355.2392,123640.69,124539.435,125175.8275,123997.3889,124235.4588,124493.0921,126038.4215,129878.6745,116935.7714,124686.4223,124492.0448
"43",126889.8571,126898.689,126902.8968,126366.9944,126830.8186,127278.3354,126785.8374,127228.5614,128027.6528,127982.3535,127696.9443,126795.8721,127004.926,128473.5973,127554.6497,127983.3758,126824.4973,127115.4859,126464.7444,126445.5877,126844.4343,126526.1474,126979.7202,127419.6282,127732.7432,127503.4953,126692.818,126618.4208,128256.7266,128550.0075,128505.8753,124744.6443,127633.6593,127309.1388,128091.8568,127916.1602,125395.5227,127472.3155,128079.6195,127648.6848,126745.6605,124846.2223,127585.5891,128840.0251,127909.0625,127590.904,126684.526,126892.331,126743.5832,126910.9269,131739.3979,120217.8646,126803.8806,126803.8806
"44",127175.5714,128491.8478,128529.5704,128559.1793,128504.9227,128844.4062,128457.7534,128746.8811,128744.6205,128681.8221,128675.6613,128483.501,128516.7518,128952.7511,128812.0759,129200.9316,128730.6348,129019.7386,128941.9903,128567.4834,128511.029,129377.1206,129747.1896,129953.1404,128838.3184,129657.2125,129797.6602,129646.0378,129369.532,129877.0712,129833.0643,129627.2622,128329.0984,129092.9452,129152.9591,127594.7292,130811.1959,129006.249,129033.3828,127967.2234,128416.6211,130234.8557,128895.6928,128069.2386,127642.8535,127443.5822,128675.3029,128954.6045,128601.2284,128203.7824,133415.8167,123829.656,128198.3385,128504.9227
"45",127023.2857,127999.5698,127961.4908,128100.6897,127740.862,127859.3185,127701.7194,128188.1386,128260.4033,128269.9033,128336.8507,128138.438,127910.3192,128384.7482,128360.144,128711.2711,127950.3929,127747.4499,129074.9044,127868.4805,128522.8899,127480.2653,127974.9318,128014.3668,128681.1312,128656.4551,127648.8388,127664.8298,128596.4938,128799.5519,128725.2406,134935.4361,128421.4653,127974.1811,129048.4395,129567.7349,130928.3829,128513.4794,129527.7412,128697.4964,127594.6222,126115.5599,126914.539,128800.4764,128843.9102,127945.4168,128091.1099,128688.3623,128196.0803,128227.6428,134759.2276,127109.3196,127780.8887,127780.8887
"46",125313.4286,127381.3377,127187.1763,127272.051,127022.4912,127111.8995,127013.3539,127612.7364,127849.3637,127854.0711,127836.5053,127556.3747,127350.7038,127863.862,127796.0025,128080.1344,127372.0294,127152.2546,127491.0956,126909.2018,127225.1396,127465.0938,127477.9624,127795.5964,127979.9356,127889.6285,127151.6364,127395.2246,127612.4967,127742.2439,127761.7434,121878.6497,124139.6434,123649.7451,123099.9965,123121.8302,127729.0759,123370.9345,123853.4559,123830.9858,122998.2705,122627.9775,122657.837,123894.272,124223.4657,124494.9058,127366.2396,128038.3704,127374.1905,127580.8012,135411.7068,128841.9421,127047.3889,123099.9965
"47",124633.4286,124691.6789,124439.8233,124445.2222,124055.3727,123890.9207,124116.9545,124575.9599,124831.294,124807.9734,124789.7811,124484.3318,124314.8668,125000.6272,124806.6725,125149.0664,124735.8833,124504.107,124748.728,124120.9246,124198.4232,124519.3761,124640.1469,125009.4798,124998.4888,125199.4637,124491.2068,124523.8255,124936.8885,125182.585,125181.1802,126287.3065,126047.5499,125359.4768,126197.9098,126885.9995,125500.322,125375.0758,126325.6979,126662.1894,127716.7575,123093.1295,125708.7781,127252.9776,128612.8697,127595.2894,124742.0657,125580.4704,124782.0231,124633.6031,134908.8481,128938.2099,124587.9479,126197.9098
"48",125045.2857,124032.5959,123939.7659,123895.8824,123886.0499,123629.1003,123639.6825,124212.3199,124299.0269,124253.106,124241.1046,124033.6916,123965.702,124235.7593,124313.9304,124472.6251,124075.7778,123828.4481,124197.7982,123459.3415,123366.3147,124349.063,124278.726,124417.8952,124428.0072,124608.6715,124295.349,123741.4292,124184.7108,124247.1785,124289.3642,123849.2356,124840.3153,124954.3582,124731.9327,124379.1936,123010.7383,125733.6998,125322.5249,126074.5041,126030.7902,123040.3388,126415.9041,125716.3353,125494.0601,124375.0752,124091.2354,124644.1813,123867.3894,123670.2512,134240.5764,126648.5331,123489.7311,123849.2356
"49",126397,124866.7218,124898.1326,124745.4959,124895.0301,124931.136,124548.8482,124952.3086,124926.3815,124847.9989,124816.4404,124696.6438,124702.9018,125112.7225,125137.0866,125294.9511,124862.8872,124864.4337,124740.0679,124733.6504,124576.9252,124882.5113,124885.0047,124789.8217,124626.2285,124844.8547,124907.9404,124197.1163,124567.6587,124248.9938,124466.6804,123585.0058,124136.8871,124175.7212,124489.5617,124488.5185,124612.1138,124510.773,124800.6635,124416.6641,124402.18,121820.9071,124124.6506,124732.7036,124325.4114,123904.1682,124978.3859,125158.759,124411.9876,123969.3226,133722.8672,124289.8722,123811.6569,123811.6569
"50",129813.5714,126813.0959,127036.6108,126936.1491,127142.6676,127517.0251,126639.8308,127064.441,126890.465,126850.0763,126880.0319,126767.0739,126787.1382,126986.4879,127134.5582,127374.8971,126819.2788,127123.7704,126510.3595,127043.0615,126911.0101,127181.9298,127011.8634,126914.6473,126674.4227,126997.7558,126997.1283,126608.6286,126517.3713,126082.8764,126320.1582,125352.8987,126336.3255,126432.117,126754.5129,126961.146,126877.4432,127000.1288,127179.6954,126944.6624,127217.5455,124528.3734,126536.7309,127042.3985,126457.9912,126147.1707,126939.5686,126824.2508,126254.854,125996.7404,134043.7517,123827.747,125521.8302,125521.8302
