"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
25432.2857142857,25795.0155443651,25761.5287611476,25719.8167442153,25557.0537331116,29936.3347458243,22942.5289447151,27801.2670653108
24667.4285714286,24821.0225367022,24778.6632933553,24740.7469148832,24530.1147518681,29350.048610849,22017.6026016162,27218.6515071037
23774.7142857143,24051.683995478,24013.1915628764,24058.0850997698,23790.5019168283,28723.4482393208,21361.3860789552,26554.3951170544
22884.4285714286,23086.4442882234,23042.6867510596,23036.1101626786,22826.8427844068,27994.7735375279,20400.8004862538,25771.736230372
21762.4285714286,22174.9389773854,22131.2745978226,22137.7692114244,21874.5166425559,27271.5643307538,19601.9283328141,24943.0429697363
20175.1428571429,20917.4256073424,20862.4557567056,20871.7554608448,20617.2790651846,26425.5647043572,18364.9470673047,24038.4352254484
18707.4285714286,19029.114293497,18950.0064851669,18747.2176920132,18590.7252218073,25388.1640634835,16597.1420196806,22958.9937484591
17609.7142857143,17534.23880624,17460.4402564411,17570.1781440615,17203.0691058644,24226.5445213346,15295.4660622818,21768.1617565141
16617.8571428571,16633.9137605342,16581.0752690229,16765.1602556731,16434.6681586977,23035.8274290008,14414.6891184336,20417.4888784304
15763.2857142857,15762.377754514,15716.933580273,15754.708657869,15472.6152294546,21987.6324354651,13528.7137435277,19033.9547115465
15037.5714285714,15021.6277049446,14982.7957271787,15050.1681562985,14758.1972757471,21139.6236185701,12850.8681454091,17885.0331291315
14185.4285714286,14403.0229373299,14370.2938076447,14464.4336567584,14222.3714950932,20395.4188368973,12256.5638808097,16931.6644741708
13410.8571428571,13513.8776975493,13474.2630942288,13586.63477852,13265.7471291885,19681.0041084715,11387.8669231108,16036.8325130187
12704.2857142857,12770.9460452388,12734.0249638111,12927.1127017108,12544.8502891008,19017.9091361137,10735.9327400128,15235.4046195788
11900.2857142857,12112.0516911632,12078.7224143553,12180.3234860155,11943.4116152057,18343.2186192104,10070.1919712027,14443.5102884727
11210.7142857143,11268.6868686768,11230.4571756642,11217.4260558114,11021.4738500818,17676.4344377149,9245.04507153942,13621.4066758085
10657.8571428571,10630.524733733,10597.4963897106,10716.1703700192,10431.3798495384,17056.1193854582,8671.58732288366,12869.0999188494
